Image_ID,PSNR_SR,SSIM_SR,PSNR_BI,SSIM_BI
barley_s4.jpg,15.690078100157024,0.4923292370026299,17.03671594486082,0.5838779027656447
flax_m4.jpg,19.43036555736467,0.3179874947333045,20.92613641563112,0.503056274440661
barley_l4.jpg,18.64323795669753,0.24458558885588566,19.109957389744924,0.2880005314120753
wheatgrass_l4.jpg,18.028647900981372,0.3437784061360823,19.31815116916905,0.44419718899829835
flax_l4.jpg,18.745850366024982,0.2721095223623066,19.240319247110673,0.3321825506102512
millet_l4.jpg,21.394896856792556,0.34895022248598134,19.97704217328612,0.3162571687997308
flaxb_l4.jpg,21.289407026079576,0.2793463320810457,21.478058427795496,0.3976420767569488
millet_s4.jpg,18.931073497934815,0.450741156972575,19.06539182510412,0.5162194723253715
sunflower_s4.jpg,18.558524985948807,0.5385470499486678,19.60772395835837,0.6348223754253408
corn_l4.jpg,17.212846392378182,0.3704984958851636,17.733809217050343,0.43890084622274633
flaxb_m4.jpg,17.783537965240907,0.283606506232843,18.228191471059098,0.5811054423883589
mix_m4.jpg,16.726810984786145,0.4049492130899485,19.0046594186544,0.5580459028436039
sunflower_l4.jpg,18.96259423162335,0.37220614898846094,19.755001283076993,0.4701970309709253
flax_s4.jpg,19.2738578329234,0.36620555113489256,22.296477132212203,0.6119794407059597
buckwheat_l4.jpg,18.16138993963156,0.18607245611208204,18.247435569264983,0.22830212525437943
sunflower_m4.jpg,20.145266922400985,0.5477657877736681,21.475585281980756,0.650198681735855
spelt_s4.jpg,16.181015847410837,0.496057095164189,17.487473119982248,0.5745988223246071
barley_m4.jpg,16.145461715190862,0.4623533410269982,18.671674072210244,0.6067984707992798
wheatgrass_s4.jpg,16.709137083831674,0.5428144125730465,17.92383316680883,0.627165764364922
buckwheat_s4.jpg,13.967553028763223,0.42933355400693324,17.50699648731955,0.6077822125578896
mix_l4.jpg,16.794951584393655,0.17861419207481752,17.86019968406712,0.2520201259286962
pumpkin_l4.jpg,19.35482184217562,0.48842189708467715,20.074599585056887,0.536584361325588
mix_s4.jpg,15.789327084806722,0.4418079717825892,17.471522096027957,0.5396453584852101
millet_m4.jpg,20.845847579831755,0.3149514687840241,20.981712791924334,0.5068824911957126
spelt_m4.jpg,16.06477586599991,0.4376198252585275,18.97734230830764,0.5984968607502194
rye_m4.jpg,17.352703652582772,0.4411951838279618,19.780715951344714,0.5932573762412777
rye_l4.jpg,17.15625877429177,0.19927157142339233,19.018226619483958,0.326651501763825
buckwheat_m4.jpg,15.759269987513209,0.3794624824571759,17.13581611405514,0.5172494430318376
pumpkin_s4.jpg,18.515911005088412,0.6556506094208245,18.680165529548443,0.6721276197522239
wheatgrass_m4.jpg,15.594166680530158,0.40637370268644357,18.393239175880794,0.5710755103015311
pumpkin_m4.jpg,16.48807789795822,0.47265819391184777,17.378742006328064,0.5482226675120454
corn_s4.jpg,17.152533884305996,0.5906754531256941,17.501226360327497,0.6279606045156361
corn_m4.jpg,6.588459722248194,0.002047289087463713,6.588451897648691,0.0020458787048137175
rye_s4.jpg,15.817619618098885,0.5110004778915455,18.003641930017043,0.6184951674555389
spelt_l4.jpg,16.74222620967013,0.19408905366703996,18.413729844550144,0.3050669487248137
flaxb_s4.jpg,21.919341402639134,0.3331902449377834,24.253027847243295,0.5606296737292368
